days daily_dust_count daily_dust_std
2021/04/16 7 0.843274042711568
2021/04/17 4 0.316227766016838
2021/04/18 5 0.316227766016838
2021/04/19 10.5 1.03279555898864
2021/04/20 9 0.471404520791032
2021/04/21 6.5 0.849836585598797
2021/04/22 6 0.942809041582063
2021/04/23 7 0.316227766016838
2021/04/24 6 0.567646212197547
2021/04/25 8.5 1.35400640077266
2021/04/26 9 0.316227766016838
2021/04/27 7 0.632455532033676
2021/04/28 6 0.316227766016838
2021/04/29 5 0.316227766016838
2021/04/30 8 0.788810637746616
2021/05/01 5 0
2021/05/02 5 0.316227766016838
2021/05/03 11 1.28668393770792
2021/05/04 5 0.567646212197547
2021/05/05 5 0.516397779494322
2021/05/06 7 0.516397779494322
2021/05/07 9 0.942809041582063
2021/05/08 5 0.316227766016838
2021/05/09 8 5.52167446422631
2021/05/10 7 1.76383420737639
2021/05/11 4.5 0.699205898780101
2021/05/12 3.5 1.3703203194063
2021/05/13 5 0.823272602348565
2021/05/14 8 0.316227766016838
2021/05/15 3 0.737864787372622
2021/05/16 6 0.516397779494322
2021/05/17 9 0.875595035770913
2021/05/18 5 0.516397779494322
2021/05/19 8 0.699205898780101
2021/05/20 6 1.15470053837925
2021/05/21 1.5 0.52704627669473
2021/05/22 5 0.674948557710553
2021/05/23 5.5 4.21637021355784
2021/05/24 6.5 4.62961481479111
2021/05/25 2 4.89444129146071
2021/05/26 5 0.471404520791032
2021/05/27 3 0.483045891539648
2021/05/28 4 0.737864787372622
2021/05/29 6 0.674948557710553
2021/05/30 5 0.316227766016838
2021/05/31 6.5 1.91195071996
2021/06/01 7 1.41813649241218
2021/06/02 6 0.316227766016838
2021/06/03 4 0.316227766016838
2021/06/04 10.5 0.52704627669473
2021/06/05 8 0
2021/06/06 7.5 0.823272602348565
2021/06/07 6.5 1.10050493461461
2021/06/08 5 1.07496769977314
2021/06/09 10 0.316227766016838
2021/06/10 5 0.966091783079296
2021/06/11 8 0.788810637746616
2021/06/12 4.5 1.03279555898864
2021/06/13 10 1.08012344973464
2021/06/14 7 1.10050493461461
2021/06/15 4.5 2.44040069569642
2021/06/16 5 10.0448992030781
2021/06/17 2 0
2021/06/18 2 0
2021/06/19 4 0.843274042711568
2021/06/20 5 0.942809041582063
2021/06/21 6 0.421637021355784
2021/06/22 6 0.483045891539648
2021/06/23 4 1.05934990547138
2021/06/24 7 0.875595035770913
2021/06/25 10 1.22927259430572
2021/06/26 4 0.316227766016838
2021/06/27 6 1.15950180872841
2021/06/28 15.5 2.90784379834192
2021/06/29 8 0.567646212197547
2021/06/30 4 0.788810637746616
2021/07/01 5 0.316227766016838
2021/07/02 8 0.674948557710553
2021/07/03 8 1.42984070596848
2021/07/04 8 0.516397779494322
2021/07/05 8 1.59513148186739
2021/07/06 5 0.483045891539648
2021/07/07 9 0.994428926011753
2021/07/08 7 0.788810637746616
2021/07/09 10.5 1.25166555703457
2021/07/10 14 0
2021/07/11 13 0.948683298050514
2021/07/12 11 1.17378779077727
2021/07/13 6 0.674948557710553
2021/07/14 10.5 0.849836585598797
